NAME                                                                 USED  AVAIL  REFER  MOUNTPOINT
data-pool-Ragnarok                                                  1.01T  3.41T   176K  none
data-pool-Ragnarok/storage                                          1.01T  3.41T   940G  /Storage
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-24-22h25    120K      -   205G  -
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-24-22h32      0B      -   205G  -
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-24-22h33      0B      -   205G  -
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-24-23h48    120K      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-25-00h11    120K      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-25-00h26    120K      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_weekly-2025-08-25-01h02       0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-25-01h02      0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_weekly-2025-08-25-07h36       0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-25-07h36      0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-25-13h34      0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_weekly-2025-08-25-13h34       0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_daily-2025-08-25-13h34        0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_monthly-2025-08-25-13h36      0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_weekly-2025-08-25-13h36       0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_daily-2025-08-25-13h36        0B      -   206G  -
data-pool-Ragnarok/storage@zfs-auto-snap_daily-2025-08-26-00h00     46.1M      -   208G  -
data-pool-Ragnarok/storage@zfs-auto-snap_daily-2025-08-27-00h00      760K      -   210G  -
data-pool-Ragnarok/storage@zfs-auto-snap_daily-2025-08-28-00h00     3.78M      -   212G  -
data-pool-Ragnarok/storage@zfs-auto-snap_daily-2025-08-29-00h00     3.67M      -   215G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-03h00     432K      -   216G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-04h00       0B      -   216G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-05h00       0B      -   216G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-06h00       0B      -   216G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-07h00       0B      -   216G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-08h00       0B      -   216G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-09h00    45.6M      -   217G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-10h00    45.6M      -   217G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-11h00       0B      -   217G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-12h00       0B      -   217G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-13h00    45.6M      -   217G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-14h00    45.6M      -   217G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-15h00    45.7M      -   217G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-16h00    45.7M      -   217G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-17h00    45.7M      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-18h00     236K      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-19h00     464K      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-20h00    45.9M      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-21h00    46.0M      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-22h00    46.0M      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-29-23h00    46.0M      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-30-00h00       0B      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_daily-2025-08-30-00h00        0B      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-30-01h00    46.1M      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_frequent-2025-08-30-01h30     0B      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_frequent-2025-08-30-01h45     0B      -   218G  -
data-pool-Ragnarok/storage@zfs-auto-snap_hourly-2025-08-30-02h00       0B      -   220G  -
data-pool-Ragnarok/storage@zfs-auto-snap_frequent-2025-08-30-02h00     0B      -   220G  -
data-pool-Ragnarok/storage@zfs-auto-snap_frequent-2025-08-30-02h15     0B      -   220G  -
