NAME                PROPERTY                VALUE                            SOURCE
data-pool-Ragnarok  type                    filesystem                       -
data-pool-Ragnarok  creation                Sun Feb 16 21:15 2025            -
data-pool-Ragnarok  used                    1.01T                            -
data-pool-Ragnarok  available               3.41T                            -
data-pool-Ragnarok  referenced              176K                             -
data-pool-Ragnarok  compressratio           1.01x                            -
data-pool-Ragnarok  mounted                 no                               -
data-pool-Ragnarok  quota                   none                             default
data-pool-Ragnarok  reservation             none                             default
data-pool-Ragnarok  recordsize              128K                             default
data-pool-Ragnarok  mountpoint              none                             local
data-pool-Ragnarok  sharenfs                off                              default
data-pool-Ragnarok  checksum                on                               default
data-pool-Ragnarok  compression             on                               default
data-pool-Ragnarok  atime                   on                               default
data-pool-Ragnarok  devices                 on                               default
data-pool-Ragnarok  exec                    on                               default
data-pool-Ragnarok  setuid                  on                               default
data-pool-Ragnarok  readonly                off                              default
data-pool-Ragnarok  zoned                   off                              default
data-pool-Ragnarok  snapdir                 hidden                           default
data-pool-Ragnarok  aclmode                 discard                          default
data-pool-Ragnarok  aclinherit              restricted                       default
data-pool-Ragnarok  createtxg               1                                -
data-pool-Ragnarok  canmount                on                               default
data-pool-Ragnarok  xattr                   sa                               default
data-pool-Ragnarok  copies                  1                                default
data-pool-Ragnarok  version                 5                                -
data-pool-Ragnarok  utf8only                off                              -
data-pool-Ragnarok  normalization           none                             -
data-pool-Ragnarok  casesensitivity         sensitive                        -
data-pool-Ragnarok  vscan                   off                              default
data-pool-Ragnarok  nbmand                  off                              default
data-pool-Ragnarok  sharesmb                off                              default
data-pool-Ragnarok  refquota                none                             default
data-pool-Ragnarok  refreservation          none                             default
data-pool-Ragnarok  guid                    414579361529709989               -
data-pool-Ragnarok  primarycache            all                              default
data-pool-Ragnarok  secondarycache          all                              default
data-pool-Ragnarok  usedbysnapshots         0B                               -
data-pool-Ragnarok  usedbydataset           176K                             -
data-pool-Ragnarok  usedbychildren          1.01T                            -
data-pool-Ragnarok  usedbyrefreservation    0B                               -
data-pool-Ragnarok  logbias                 latency                          default
data-pool-Ragnarok  objsetid                54                               -
data-pool-Ragnarok  dedup                   off                              default
data-pool-Ragnarok  mlslabel                none                             default
data-pool-Ragnarok  sync                    standard                         default
data-pool-Ragnarok  dnodesize               legacy                           default
data-pool-Ragnarok  refcompressratio        1.00x                            -
data-pool-Ragnarok  written                 176K                             -
data-pool-Ragnarok  logicalused             1.03T                            -
data-pool-Ragnarok  logicalreferenced       64.5K                            -
data-pool-Ragnarok  volmode                 default                          default
data-pool-Ragnarok  filesystem_limit        none                             default
data-pool-Ragnarok  snapshot_limit          none                             default
data-pool-Ragnarok  filesystem_count        none                             default
data-pool-Ragnarok  snapshot_count          none                             default
data-pool-Ragnarok  snapdev                 hidden                           default
data-pool-Ragnarok  acltype                 off                              default
data-pool-Ragnarok  context                 none                             default
data-pool-Ragnarok  fscontext               none                             default
data-pool-Ragnarok  defcontext              none                             default
data-pool-Ragnarok  rootcontext             none                             default
data-pool-Ragnarok  relatime                on                               default
data-pool-Ragnarok  redundant_metadata      all                              default
data-pool-Ragnarok  overlay                 on                               default
data-pool-Ragnarok  encryption              off                              default
data-pool-Ragnarok  keylocation             none                             default
data-pool-Ragnarok  keyformat               none                             default
data-pool-Ragnarok  pbkdf2iters             0                                default
data-pool-Ragnarok  special_small_blocks    0                                default
data-pool-Ragnarok  prefetch                all                              default
data-pool-Ragnarok  direct                  standard                         default
data-pool-Ragnarok  longname                off                              default
data-pool-Ragnarok  defaultuserquota        0                                -
data-pool-Ragnarok  defaultgroupquota       0                                -
data-pool-Ragnarok  defaultprojectquota     0                                -
data-pool-Ragnarok  defaultuserobjquota     0                                -
data-pool-Ragnarok  defaultgroupobjquota    0                                -
data-pool-Ragnarok  defaultprojectobjquota  0                                -
data-pool-Ragnarok  nixos:shutdown-time     Wed Sep  2 07:20:05 PM EST 2026  local
