NAME                        PROPERTY                VALUE                            SOURCE
data-pool-Ragnarok/storage  type                    filesystem                       -
data-pool-Ragnarok/storage  creation                Sun Feb 16 21:15 2025            -
data-pool-Ragnarok/storage  used                    1.01T                            -
data-pool-Ragnarok/storage  available               3.41T                            -
data-pool-Ragnarok/storage  referenced              940G                             -
data-pool-Ragnarok/storage  compressratio           1.01x                            -
data-pool-Ragnarok/storage  mounted                 yes                              -
data-pool-Ragnarok/storage  quota                   none                             default
data-pool-Ragnarok/storage  reservation             none                             default
data-pool-Ragnarok/storage  recordsize              1M                               local
data-pool-Ragnarok/storage  mountpoint              /Storage                         local
data-pool-Ragnarok/storage  sharenfs                off                              default
data-pool-Ragnarok/storage  checksum                on                               default
data-pool-Ragnarok/storage  compression             lz4                              local
data-pool-Ragnarok/storage  atime                   off                              local
data-pool-Ragnarok/storage  devices                 on                               default
data-pool-Ragnarok/storage  exec                    on                               default
data-pool-Ragnarok/storage  setuid                  on                               default
data-pool-Ragnarok/storage  readonly                on                               temporary
data-pool-Ragnarok/storage  zoned                   off                              default
data-pool-Ragnarok/storage  snapdir                 hidden                           default
data-pool-Ragnarok/storage  aclmode                 discard                          default
data-pool-Ragnarok/storage  aclinherit              restricted                       default
data-pool-Ragnarok/storage  createtxg               53                               -
data-pool-Ragnarok/storage  canmount                on                               default
data-pool-Ragnarok/storage  xattr                   sa                               local
data-pool-Ragnarok/storage  copies                  1                                default
data-pool-Ragnarok/storage  version                 5                                -
data-pool-Ragnarok/storage  utf8only                off                              -
data-pool-Ragnarok/storage  normalization           none                             -
data-pool-Ragnarok/storage  casesensitivity         sensitive                        -
data-pool-Ragnarok/storage  vscan                   off                              default
data-pool-Ragnarok/storage  nbmand                  off                              default
data-pool-Ragnarok/storage  sharesmb                off                              default
data-pool-Ragnarok/storage  refquota                none                             default
data-pool-Ragnarok/storage  refreservation          none                             default
data-pool-Ragnarok/storage  guid                    16414216833143595779             -
data-pool-Ragnarok/storage  primarycache            all                              default
data-pool-Ragnarok/storage  secondarycache          all                              default
data-pool-Ragnarok/storage  usedbysnapshots         98.4G                            -
data-pool-Ragnarok/storage  usedbydataset           940G                             -
data-pool-Ragnarok/storage  usedbychildren          0B                               -
data-pool-Ragnarok/storage  usedbyrefreservation    0B                               -
data-pool-Ragnarok/storage  logbias                 latency                          default
data-pool-Ragnarok/storage  objsetid                78                               -
data-pool-Ragnarok/storage  dedup                   off                              default
data-pool-Ragnarok/storage  mlslabel                none                             default
data-pool-Ragnarok/storage  sync                    standard                         default
data-pool-Ragnarok/storage  dnodesize               legacy                           default
data-pool-Ragnarok/storage  refcompressratio        1.01x                            -
data-pool-Ragnarok/storage  written                 818G                             -
data-pool-Ragnarok/storage  logicalused             1.03T                            -
data-pool-Ragnarok/storage  logicalreferenced       951G                             -
data-pool-Ragnarok/storage  volmode                 default                          default
data-pool-Ragnarok/storage  filesystem_limit        none                             default
data-pool-Ragnarok/storage  snapshot_limit          none                             default
data-pool-Ragnarok/storage  filesystem_count        none                             default
data-pool-Ragnarok/storage  snapshot_count          none                             default
data-pool-Ragnarok/storage  snapdev                 hidden                           default
data-pool-Ragnarok/storage  acltype                 posix                            local
data-pool-Ragnarok/storage  context                 none                             default
data-pool-Ragnarok/storage  fscontext               none                             default
data-pool-Ragnarok/storage  defcontext              none                             default
data-pool-Ragnarok/storage  rootcontext             none                             default
data-pool-Ragnarok/storage  relatime                on                               local
data-pool-Ragnarok/storage  redundant_metadata      all                              default
data-pool-Ragnarok/storage  overlay                 on                               default
data-pool-Ragnarok/storage  encryption              aes-256-gcm                      -
data-pool-Ragnarok/storage  keylocation             prompt                           local
data-pool-Ragnarok/storage  keyformat               passphrase                       -
data-pool-Ragnarok/storage  pbkdf2iters             350000                           -
data-pool-Ragnarok/storage  encryptionroot          data-pool-Ragnarok/storage       -
data-pool-Ragnarok/storage  keystatus               available                        -
data-pool-Ragnarok/storage  special_small_blocks    0                                default
data-pool-Ragnarok/storage  snapshots_changed       Sat Aug 30  7:15:09 2025         -
data-pool-Ragnarok/storage  prefetch                all                              default
data-pool-Ragnarok/storage  direct                  standard                         default
data-pool-Ragnarok/storage  longname                off                              default
data-pool-Ragnarok/storage  defaultuserquota        0                                -
data-pool-Ragnarok/storage  defaultgroupquota       0                                -
data-pool-Ragnarok/storage  defaultprojectquota     0                                -
data-pool-Ragnarok/storage  defaultuserobjquota     0                                -
data-pool-Ragnarok/storage  defaultgroupobjquota    0                                -
data-pool-Ragnarok/storage  defaultprojectobjquota  0                                -
data-pool-Ragnarok/storage  com.sun:auto-snapshot   true                             local
data-pool-Ragnarok/storage  nixos:shutdown-time     Wed Sep  2 07:20:05 PM EST 2026  inherited from data-pool-Ragnarok
