NAME                PROPERTY                       VALUE                          SOURCE
data-pool-Ragnarok  size                           4.55T                          -
data-pool-Ragnarok  capacity                       0%                             -
data-pool-Ragnarok  altroot                        -                              default
data-pool-Ragnarok  health                         DEGRADED                       -
data-pool-Ragnarok  guid                           2877992903659797719            -
data-pool-Ragnarok  version                        -                              default
data-pool-Ragnarok  bootfs                         -                              default
data-pool-Ragnarok  delegation                     on                             default
data-pool-Ragnarok  autoreplace                    off                            default
data-pool-Ragnarok  cachefile                      -                              default
data-pool-Ragnarok  failmode                       continue                       local
data-pool-Ragnarok  listsnapshots                  off                            default
data-pool-Ragnarok  autoexpand                     off                            default
data-pool-Ragnarok  dedupratio                     1.00x                          -
data-pool-Ragnarok  free                           4.55T                          -
data-pool-Ragnarok  allocated                      0                              -
data-pool-Ragnarok  readonly                       on                             -
data-pool-Ragnarok  ashift                         12                             local
data-pool-Ragnarok  comment                        -                              default
data-pool-Ragnarok  expandsize                     -                              -
data-pool-Ragnarok  freeing                        0                              -
data-pool-Ragnarok  fragmentation                  0%                             -
data-pool-Ragnarok  leaked                         0                              -
data-pool-Ragnarok  multihost                      off                            default
data-pool-Ragnarok  checkpoint                     -                              -
data-pool-Ragnarok  load_guid                      15993079896402096922           -
data-pool-Ragnarok  autotrim                       off                            default
data-pool-Ragnarok  compatibility                  off                            default
data-pool-Ragnarok  bcloneused                     0                              -
data-pool-Ragnarok  bclonesaved                    0                              -
data-pool-Ragnarok  bcloneratio                    1.00x                          -
data-pool-Ragnarok  dedup_table_size               0                              -
data-pool-Ragnarok  dedup_table_quota              auto                           default
data-pool-Ragnarok  last_scrubbed_txg              3656553                        -
data-pool-Ragnarok  feature@async_destroy          enabled                        local
data-pool-Ragnarok  feature@empty_bpobj            active                         local
data-pool-Ragnarok  feature@lz4_compress           active                         local
data-pool-Ragnarok  feature@multi_vdev_crash_dump  enabled                        local
data-pool-Ragnarok  feature@spacemap_histogram     active                         local
data-pool-Ragnarok  feature@enabled_txg            active                         local
data-pool-Ragnarok  feature@hole_birth             active                         local
data-pool-Ragnarok  feature@extensible_dataset     active                         local
data-pool-Ragnarok  feature@embedded_data          active                         local
data-pool-Ragnarok  feature@bookmarks              enabled                        local
data-pool-Ragnarok  feature@filesystem_limits      enabled                        local
data-pool-Ragnarok  feature@large_blocks           enabled                        local
data-pool-Ragnarok  feature@large_dnode            enabled                        local
data-pool-Ragnarok  feature@sha512                 enabled                        local
data-pool-Ragnarok  feature@skein                  enabled                        local
data-pool-Ragnarok  feature@edonr                  enabled                        local
data-pool-Ragnarok  feature@userobj_accounting     active                         local
data-pool-Ragnarok  feature@encryption             active                         local
data-pool-Ragnarok  feature@project_quota          active                         local
data-pool-Ragnarok  feature@device_removal         enabled                        local
data-pool-Ragnarok  feature@obsolete_counts        enabled                        local
data-pool-Ragnarok  feature@zpool_checkpoint       enabled                        local
data-pool-Ragnarok  feature@spacemap_v2            active                         local
data-pool-Ragnarok  feature@allocation_classes     enabled                        local
data-pool-Ragnarok  feature@resilver_defer         enabled                        local
data-pool-Ragnarok  feature@bookmark_v2            enabled                        local
data-pool-Ragnarok  feature@redaction_bookmarks    enabled                        local
data-pool-Ragnarok  feature@redacted_datasets      enabled                        local
data-pool-Ragnarok  feature@bookmark_written       enabled                        local
data-pool-Ragnarok  feature@log_spacemap           active                         local
data-pool-Ragnarok  feature@livelist               enabled                        local
data-pool-Ragnarok  feature@device_rebuild         enabled                        local
data-pool-Ragnarok  feature@zstd_compress          active                         local
data-pool-Ragnarok  feature@draid                  enabled                        local
data-pool-Ragnarok  feature@zilsaxattr             active                         local
data-pool-Ragnarok  feature@head_errlog            active                         local
data-pool-Ragnarok  feature@blake3                 enabled                        local
data-pool-Ragnarok  feature@block_cloning          enabled                        local
data-pool-Ragnarok  feature@vdev_zaps_v2           active                         local
data-pool-Ragnarok  feature@redaction_list_spill   enabled                        local
data-pool-Ragnarok  feature@raidz_expansion        enabled                        local
data-pool-Ragnarok  feature@fast_dedup             enabled                        local
data-pool-Ragnarok  feature@longname               enabled                        local
data-pool-Ragnarok  feature@large_microzap         enabled                        local
data-pool-Ragnarok  feature@dynamic_gang_header    enabled                        local
data-pool-Ragnarok  feature@block_cloning_endian   enabled                        local
data-pool-Ragnarok  feature@physical_rewrite       enabled                        local
