NAME            PROPERTY                VALUE                            SOURCE
data-pool-Thor  type                    filesystem                       -
data-pool-Thor  creation                Tue Aug  4  0:15 2026            -
data-pool-Thor  used                    1.73G                            -
data-pool-Thor  available               921G                             -
data-pool-Thor  referenced              176K                             -
data-pool-Thor  compressratio           1.53x                            -
data-pool-Thor  mounted                 no                               -
data-pool-Thor  quota                   none                             default
data-pool-Thor  reservation             none                             default
data-pool-Thor  recordsize              128K                             default
data-pool-Thor  mountpoint              none                             local
data-pool-Thor  sharenfs                off                              default
data-pool-Thor  checksum                on                               default
data-pool-Thor  compression             on                               default
data-pool-Thor  atime                   on                               default
data-pool-Thor  devices                 on                               default
data-pool-Thor  exec                    on                               default
data-pool-Thor  setuid                  on                               default
data-pool-Thor  readonly                off                              default
data-pool-Thor  zoned                   off                              default
data-pool-Thor  snapdir                 hidden                           default
data-pool-Thor  aclmode                 discard                          default
data-pool-Thor  aclinherit              restricted                       default
data-pool-Thor  createtxg               1                                -
data-pool-Thor  canmount                on                               default
data-pool-Thor  xattr                   sa                               default
data-pool-Thor  copies                  1                                default
data-pool-Thor  version                 5                                -
data-pool-Thor  utf8only                off                              -
data-pool-Thor  normalization           none                             -
data-pool-Thor  casesensitivity         sensitive                        -
data-pool-Thor  vscan                   off                              default
data-pool-Thor  nbmand                  off                              default
data-pool-Thor  sharesmb                off                              default
data-pool-Thor  refquota                none                             default
data-pool-Thor  refreservation          none                             default
data-pool-Thor  guid                    6557657849408160577              -
data-pool-Thor  primarycache            all                              default
data-pool-Thor  secondarycache          all                              default
data-pool-Thor  usedbysnapshots         0B                               -
data-pool-Thor  usedbydataset           176K                             -
data-pool-Thor  usedbychildren          1.73G                            -
data-pool-Thor  usedbyrefreservation    0B                               -
data-pool-Thor  logbias                 latency                          default
data-pool-Thor  objsetid                54                               -
data-pool-Thor  dedup                   off                              default
data-pool-Thor  mlslabel                none                             default
data-pool-Thor  sync                    standard                         default
data-pool-Thor  dnodesize               legacy                           default
data-pool-Thor  refcompressratio        1.00x                            -
data-pool-Thor  written                 176K                             -
data-pool-Thor  logicalused             2.01G                            -
data-pool-Thor  logicalreferenced       65K                              -
data-pool-Thor  volmode                 default                          default
data-pool-Thor  filesystem_limit        none                             default
data-pool-Thor  snapshot_limit          none                             default
data-pool-Thor  filesystem_count        none                             default
data-pool-Thor  snapshot_count          none                             default
data-pool-Thor  snapdev                 hidden                           default
data-pool-Thor  acltype                 off                              default
data-pool-Thor  context                 none                             default
data-pool-Thor  fscontext               none                             default
data-pool-Thor  defcontext              none                             default
data-pool-Thor  rootcontext             none                             default
data-pool-Thor  relatime                on                               default
data-pool-Thor  redundant_metadata      all                              default
data-pool-Thor  overlay                 on                               default
data-pool-Thor  encryption              off                              default
data-pool-Thor  keylocation             none                             default
data-pool-Thor  keyformat               none                             default
data-pool-Thor  pbkdf2iters             0                                default
data-pool-Thor  special_small_blocks    0                                default
data-pool-Thor  prefetch                all                              default
data-pool-Thor  direct                  standard                         default
data-pool-Thor  longname                off                              default
data-pool-Thor  defaultuserquota        0                                -
data-pool-Thor  defaultgroupquota       0                                -
data-pool-Thor  defaultprojectquota     0                                -
data-pool-Thor  defaultuserobjquota     0                                -
data-pool-Thor  defaultgroupobjquota    0                                -
data-pool-Thor  defaultprojectobjquota  0                                -
data-pool-Thor  nixos:shutdown-time     Tue Sep  8 11:42:38 PM EST 2026  local
