NAME                    PROPERTY                VALUE                            SOURCE
data-pool-Thor/storage  type                    filesystem                       -
data-pool-Thor/storage  creation                Tue Aug  4  0:15 2026            -
data-pool-Thor/storage  used                    1.72G                            -
data-pool-Thor/storage  available               921G                             -
data-pool-Thor/storage  referenced              1.61G                            -
data-pool-Thor/storage  compressratio           1.54x                            -
data-pool-Thor/storage  mounted                 yes                              -
data-pool-Thor/storage  quota                   none                             default
data-pool-Thor/storage  reservation             none                             default
data-pool-Thor/storage  recordsize              128K                             default
data-pool-Thor/storage  mountpoint              /Storage                         local
data-pool-Thor/storage  sharenfs                off                              default
data-pool-Thor/storage  checksum                on                               default
data-pool-Thor/storage  compression             lz4                              local
data-pool-Thor/storage  atime                   on                               default
data-pool-Thor/storage  devices                 on                               default
data-pool-Thor/storage  exec                    on                               default
data-pool-Thor/storage  setuid                  on                               default
data-pool-Thor/storage  readonly                off                              default
data-pool-Thor/storage  zoned                   off                              default
data-pool-Thor/storage  snapdir                 hidden                           default
data-pool-Thor/storage  aclmode                 discard                          default
data-pool-Thor/storage  aclinherit              restricted                       default
data-pool-Thor/storage  createtxg               50                               -
data-pool-Thor/storage  canmount                on                               default
data-pool-Thor/storage  xattr                   sa                               local
data-pool-Thor/storage  copies                  1                                default
data-pool-Thor/storage  version                 5                                -
data-pool-Thor/storage  utf8only                off                              -
data-pool-Thor/storage  normalization           none                             -
data-pool-Thor/storage  casesensitivity         sensitive                        -
data-pool-Thor/storage  vscan                   off                              default
data-pool-Thor/storage  nbmand                  off                              default
data-pool-Thor/storage  sharesmb                off                              default
data-pool-Thor/storage  refquota                none                             default
data-pool-Thor/storage  refreservation          none                             default
data-pool-Thor/storage  guid                    15961427756312731793             -
data-pool-Thor/storage  primarycache            all                              local
data-pool-Thor/storage  secondarycache          all                              default
data-pool-Thor/storage  usedbysnapshots         105M                             -
data-pool-Thor/storage  usedbydataset           1.61G                            -
data-pool-Thor/storage  usedbychildren          0B                               -
data-pool-Thor/storage  usedbyrefreservation    0B                               -
data-pool-Thor/storage  logbias                 latency                          default
data-pool-Thor/storage  objsetid                648                              -
data-pool-Thor/storage  dedup                   off                              default
data-pool-Thor/storage  mlslabel                none                             default
data-pool-Thor/storage  sync                    standard                         default
data-pool-Thor/storage  dnodesize               legacy                           default
data-pool-Thor/storage  refcompressratio        1.56x                            -
data-pool-Thor/storage  written                 95.0M                            -
data-pool-Thor/storage  logicalused             2.00G                            -
data-pool-Thor/storage  logicalreferenced       1.95G                            -
data-pool-Thor/storage  volmode                 default                          default
data-pool-Thor/storage  filesystem_limit        none                             default
data-pool-Thor/storage  snapshot_limit          none                             default
data-pool-Thor/storage  filesystem_count        none                             default
data-pool-Thor/storage  snapshot_count          none                             default
data-pool-Thor/storage  snapdev                 hidden                           default
data-pool-Thor/storage  acltype                 posix                            local
data-pool-Thor/storage  context                 none                             default
data-pool-Thor/storage  fscontext               none                             default
data-pool-Thor/storage  defcontext              none                             default
data-pool-Thor/storage  rootcontext             none                             default
data-pool-Thor/storage  relatime                on                               local
data-pool-Thor/storage  redundant_metadata      all                              default
data-pool-Thor/storage  overlay                 on                               default
data-pool-Thor/storage  encryption              aes-256-gcm                      -
data-pool-Thor/storage  keylocation             prompt                           local
data-pool-Thor/storage  keyformat               passphrase                       -
data-pool-Thor/storage  pbkdf2iters             350000                           -
data-pool-Thor/storage  encryptionroot          data-pool-Thor/storage           -
data-pool-Thor/storage  keystatus               available                        -
data-pool-Thor/storage  special_small_blocks    0                                default
data-pool-Thor/storage  snapshots_changed       Wed Sep  9 16:00:07 2026         -
data-pool-Thor/storage  prefetch                all                              default
data-pool-Thor/storage  direct                  standard                         default
data-pool-Thor/storage  longname                off                              default
data-pool-Thor/storage  defaultuserquota        0                                -
data-pool-Thor/storage  defaultgroupquota       0                                -
data-pool-Thor/storage  defaultprojectquota     0                                -
data-pool-Thor/storage  defaultuserobjquota     0                                -
data-pool-Thor/storage  defaultgroupobjquota    0                                -
data-pool-Thor/storage  defaultprojectobjquota  0                                -
data-pool-Thor/storage  com.sun:auto-snapshot   true                             local
data-pool-Thor/storage  nixos:shutdown-time     Tue Sep  8 11:42:38 PM EST 2026  inherited from data-pool-Thor
