NAME            PROPERTY                       VALUE                          SOURCE
data-pool-Thor  size                           952G                           -
data-pool-Thor  capacity                       0%                             -
data-pool-Thor  altroot                        -                              default
data-pool-Thor  health                         ONLINE                         -
data-pool-Thor  guid                           1620017591965800391            -
data-pool-Thor  version                        -                              default
data-pool-Thor  bootfs                         -                              default
data-pool-Thor  delegation                     on                             default
data-pool-Thor  autoreplace                    off                            default
data-pool-Thor  cachefile                      -                              default
data-pool-Thor  failmode                       wait                           default
data-pool-Thor  listsnapshots                  off                            default
data-pool-Thor  autoexpand                     off                            default
data-pool-Thor  dedupratio                     1.00x                          -
data-pool-Thor  free                           950G                           -
data-pool-Thor  allocated                      1.80G                          -
data-pool-Thor  readonly                       off                            -
data-pool-Thor  ashift                         12                             local
data-pool-Thor  comment                        -                              default
data-pool-Thor  expandsize                     -                              -
data-pool-Thor  freeing                        0                              -
data-pool-Thor  fragmentation                  1%                             -
data-pool-Thor  leaked                         0                              -
data-pool-Thor  multihost                      off                            default
data-pool-Thor  checkpoint                     -                              -
data-pool-Thor  load_guid                      10468063823085885880           -
data-pool-Thor  autotrim                       on                             local
data-pool-Thor  compatibility                  off                            default
data-pool-Thor  bcloneused                     0                              -
data-pool-Thor  bclonesaved                    0                              -
data-pool-Thor  bcloneratio                    1.00x                          -
data-pool-Thor  dedup_table_size               0                              -
data-pool-Thor  dedup_table_quota              auto                           default
data-pool-Thor  last_scrubbed_txg              45748                          -
data-pool-Thor  feature@async_destroy          enabled                        local
data-pool-Thor  feature@empty_bpobj            active                         local
data-pool-Thor  feature@lz4_compress           active                         local
data-pool-Thor  feature@multi_vdev_crash_dump  enabled                        local
data-pool-Thor  feature@spacemap_histogram     active                         local
data-pool-Thor  feature@enabled_txg            active                         local
data-pool-Thor  feature@hole_birth             active                         local
data-pool-Thor  feature@extensible_dataset     active                         local
data-pool-Thor  feature@embedded_data          active                         local
data-pool-Thor  feature@bookmarks              enabled                        local
data-pool-Thor  feature@filesystem_limits      enabled                        local
data-pool-Thor  feature@large_blocks           enabled                        local
data-pool-Thor  feature@large_dnode            enabled                        local
data-pool-Thor  feature@sha512                 enabled                        local
data-pool-Thor  feature@skein                  enabled                        local
data-pool-Thor  feature@edonr                  enabled                        local
data-pool-Thor  feature@userobj_accounting     active                         local
data-pool-Thor  feature@encryption             active                         local
data-pool-Thor  feature@project_quota          active                         local
data-pool-Thor  feature@device_removal         enabled                        local
data-pool-Thor  feature@obsolete_counts        enabled                        local
data-pool-Thor  feature@zpool_checkpoint       enabled                        local
data-pool-Thor  feature@spacemap_v2            active                         local
data-pool-Thor  feature@allocation_classes     enabled                        local
data-pool-Thor  feature@resilver_defer         enabled                        local
data-pool-Thor  feature@bookmark_v2            enabled                        local
data-pool-Thor  feature@redaction_bookmarks    enabled                        local
data-pool-Thor  feature@redacted_datasets      enabled                        local
data-pool-Thor  feature@bookmark_written       enabled                        local
data-pool-Thor  feature@log_spacemap           active                         local
data-pool-Thor  feature@livelist               enabled                        local
data-pool-Thor  feature@device_rebuild         enabled                        local
data-pool-Thor  feature@zstd_compress          active                         local
data-pool-Thor  feature@draid                  enabled                        local
data-pool-Thor  feature@zilsaxattr             active                         local
data-pool-Thor  feature@head_errlog            active                         local
data-pool-Thor  feature@blake3                 enabled                        local
data-pool-Thor  feature@block_cloning          enabled                        local
data-pool-Thor  feature@vdev_zaps_v2           active                         local
data-pool-Thor  feature@redaction_list_spill   enabled                        local
data-pool-Thor  feature@raidz_expansion        enabled                        local
data-pool-Thor  feature@fast_dedup             enabled                        local
data-pool-Thor  feature@longname               enabled                        local
data-pool-Thor  feature@large_microzap         enabled                        local
data-pool-Thor  feature@dynamic_gang_header    disabled                       local
data-pool-Thor  feature@block_cloning_endian   enabled                        local
data-pool-Thor  feature@physical_rewrite       enabled                        local
